idx,fail_level,udsid,sid,data,response
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
12791,2,74A,28,BC 3F CE 00 45 3A 33 FF 7C,
