idx,udsid,sid,data
0,70E,86,00,00,00,00
1,70E,86,00,00,00,02
2,70E,86,00,00,C0,00
3,70E,86,09,00,00,60
4,70E,86,00,00,FF,00
5,70E,86,FF,00,00,FF
6,70E,86,FF,FF,FF,FF
7,70E,86,00,00,00,01
8,70E,86,00,00,01,01
9,70E,86,01,01,01,01
10,70E,86,FF,00,00,00
11,70E,86,00,00,FF,FF
12,70E,86,FF,FF,FF,FF
13,70E,86,00,00,00,00
14,70E,86,00,00,00,00
15,70E,86,00,00,00,00
16,70E,86,00,00,00,FF
17,70E,86,00,00,FF,FF
18,70E,86,FF,FF,FF,FF
19,70E,86,80,00,00,00
20,70E,86,80,01,00,00
21,70E,86,25,00,00,80
22,70E,86,00,00,00,FF
23,70E,86,00,00,FF,FF
24,70E,86,FF,FF,FF,FF
25,70E,86,01,00,00,00
26,70E,86,00,01,01,00
27,70E,86,01,01,01,01
28,70E,86,00,00,FF,00
29,70E,86,FF,FF,00,00
30,70E,86,FF,FF,FF,FF
31,74A,85,00,00,00,00
32,74A,85,00,01,00,00
33,74A,85,06,00,00,00
34,74A,85,60,09,00,00
35,74A,85,00,FF,00,00
36,74A,85,FF,00,00,FF
37,74A,85,FF,FF,FF,FF
38,74A,85,00,00,00,01
39,74A,85,00,01,01,00
40,74A,85,01,01,01,01
41,74A,85,00,00,00,FF
42,74A,85,00,FF,FF,00
43,74A,85,FF,FF,FF,FF
44,74A,85,00,00,00,00
45,74A,85,00,00,00,00
46,74A,85,00,00,00,00
47,74A,85,00,00,00,FF
48,74A,85,00,FF,FF,00
49,74A,85,FF,FF,FF,FF
50,74A,85,00,00,00,01
51,74A,85,00,00,00,03
52,74A,85,4B,00,00,00
53,74A,85,FF,00,00,00
54,74A,85,FF,00,00,FF
55,74A,85,FF,FF,FF,FF
56,74A,85,01,00,00,00
57,74A,85,00,01,01,00
58,74A,85,01,01,01,01
59,74A,85,00,00,00,FF
60,74A,85,00,FF,FF,00
61,74A,85,FF,FF,FF,FF
62,70E,85,00,00,00,00
63,70E,85,00,00,00,80
64,70E,85,00,00,18,00
65,70E,85,00,00,4B,00
66,70E,85,00,00,FF,00
67,70E,85,00,FF,FF,00
68,70E,85,FF,FF,FF,FF
69,70E,85,00,01,00,00
70,70E,85,01,00,00,01
71,70E,85,01,01,01,01
72,70E,85,00,00,00,FF
73,70E,85,FF,FF,00,00
74,70E,85,FF,FF,FF,FF
75,70E,85,00,00,00,00
76,70E,85,00,00,00,00
77,70E,85,00,00,00,00
78,70E,85,FF,00,00,00
79,70E,85,00,FF,FF,00
80,70E,85,FF,FF,FF,FF
81,70E,85,00,00,00,01
82,70E,85,00,00,30,00
83,70E,85,96,00,00,00
84,70E,85,00,00,FF,00
85,70E,85,FF,00,00,FF
86,70E,85,FF,FF,FF,FF
87,70E,85,01,00,00,00
88,70E,85,01,00,00,01
89,70E,85,01,01,01,01
90,70E,85,00,00,FF,00
91,70E,85,FF,FF,00,00
92,70E,85,FF,FF,FF,FF
93,74A,3E,00,00,00,00
94,74A,3E,10,00,00,00
95,74A,3E,00,00,00,0C
96,74A,3E,00,00,80,25
97,74A,3E,00,FF,00,00
98,74A,3E,00,FF,FF,00
99,74A,3E,FF,FF,FF,FF
100,74A,3E,00,01,00,00
101,74A,3E,00,00,01,01
102,74A,3E,01,01,01,01
103,74A,3E,00,00,00,FF
104,74A,3E,00,FF,FF,00
105,74A,3E,FF,FF,FF,FF
